description,generated_subject,len_words
Email about upcoming event,Upcoming Event,2
Email about upcoming event,The World of Warcraft Event,5
Reminder for payment due tomorrow,Reminder Payment Due Tomorrow,4
Reminder for payment due tomorrow,Payment Due to Your Payday,5
Discount offer on electronics,Discount Offer Electronics,3
Discount offer on electronics,Discount Offers to People Who,5
Meeting rescheduled to next week,Meeting Rescheduled Next Week,4
Meeting rescheduled to next week,Got More Than Two Hours,5
Welcome email for new subscribers,Welcome New Subscribers,3
Welcome email for new subscribers,Read The Following Guidelines When,5
Follow-up on interview schedule,Follow up Interview Schedule,4
Follow-up on interview schedule,All Comments Will be Posted,5
Webinar invitation for AI trends,Webinar Invitation AI Trends,4
Webinar invitation for AI trends,AI Trends at Google Conference,5
